timestamp,metric,value
2020-07-06 02:17:00+00:00,BytesIn,0.0
2020-07-06 02:22:00+00:00,BytesIn,0.0
2020-07-06 02:27:00+00:00,BytesIn,0.0
2020-07-06 02:32:00+00:00,BytesIn,0.0
2020-07-06 02:37:00+00:00,BytesIn,30.0
2020-07-06 02:42:00+00:00,BytesIn,366.46153846153845
2020-07-06 02:47:00+00:00,BytesIn,157.11111111111111
2020-07-06 02:52:00+00:00,BytesIn,99.2
2020-07-06 02:57:00+00:00,BytesIn,62.857142857142854
2020-07-06 03:02:00+00:00,BytesIn,26.90909090909091
2020-07-06 03:07:00+00:00,BytesIn,93.6
2020-07-06 03:12:00+00:00,BytesIn,0.0
2020-07-06 03:17:00+00:00,BytesIn,45.53846153846154
2020-07-06 03:22:00+00:00,BytesIn,0.0
2020-07-06 03:27:00+00:00,BytesIn,39.0
2020-07-06 03:32:00+00:00,BytesIn,33.714285714285715
2020-07-06 03:37:00+00:00,BytesIn,10.5
2020-07-06 03:42:00+00:00,BytesIn,0.0
2020-07-06 03:47:00+00:00,BytesIn,0.0
2020-07-06 03:52:00+00:00,BytesIn,0.0
2020-07-06 03:57:00+00:00,BytesIn,0.0
2020-07-06 04:02:00+00:00,BytesIn,0.0
2020-07-06 04:07:00+00:00,BytesIn,0.0
2020-07-06 04:12:00+00:00,BytesIn,0.0
2020-07-06 04:17:00+00:00,BytesIn,0.0
2020-07-06 04:22:00+00:00,BytesIn,0.0
2020-07-06 04:27:00+00:00,BytesIn,0.0
2020-07-06 04:32:00+00:00,BytesIn,0.0
2020-07-06 04:37:00+00:00,BytesIn,0.0
2020-07-06 04:42:00+00:00,BytesIn,0.0
2020-07-06 04:47:00+00:00,BytesIn,0.0
2020-07-06 04:52:00+00:00,BytesIn,0.0
2020-07-06 04:57:00+00:00,BytesIn,0.0
2020-07-06 05:02:00+00:00,BytesIn,0.0
2020-07-06 05:07:00+00:00,BytesIn,0.0
2020-07-06 05:12:00+00:00,BytesIn,0.0
2020-07-06 05:17:00+00:00,BytesIn,0.0
2020-07-06 05:22:00+00:00,BytesIn,0.0
